Author,Review URL,Description,Rating
Mayank Yadav,https://www.zoma.to/kOLQKOe,Tried the Meghana special. Really bad biryani. It was just chicken put on top of rice. The rice was hardly flavorful and even had parts where it was just plain white rice!<br/>Chicken was overcooked and had lost all texture. <br/><br/>Not going back ever again.,1.0
Sathish J,https://www.zoma.to/ZLwdDRP,good,5.0
Sravani,https://www.zoma.to/DPeBQQn,,5.0
Pratibha Nair,https://www.zoma.to/kOlDyYy,"We ordered the Meghana special chicken biryani. The rice and chicken are packed separately for delivery. Each grain of rice was perfectly cooked and infused with the rich flavor of the spices. The chicken pieces are small, juicy, tender of meat that added a unique flavor when combined with the rice. However, the raitha was not that great.<br/>Overall loved the flavor and definitely would recommend to everyone.<br/> <br/>",4.0
Santhosh,https://www.zoma.to/QkYPdob,If you used to order online meghana biriyani don’t get disappointed taste is same but u ill get low quantity!,5.0
Ananya Verma,https://www.zoma.to/pdYgvMN,great food and amazing service by Ganesh ☺️ <br/>,5.0
Augustin K R,https://www.zoma.to/AOKxKAv,Visited and had Meghana Special Briyani. So damn spicy. They charge so high but can’t give a proper Raitha. A normal buttermilk will be better than their raitha. It not even a good Briyani which is over hyped. So much noise from Kitchen and too many staff going around and walking shouting all the time,2.0
Subham,https://www.zoma.to/ZLMPBEv,The biryani is super delecious. The best you can find in bangalore. If you are craving for biryani without any doubts choose meghana’s. The staff is super nice and hospitable specially mr. shoven will definitely help you out in choosing the best biryani they had to offer.,5.0
Satya Raju,https://www.zoma.to/eKgNmBA,We have ordered Chicken fried rice .. It was worse sate .. it 90 min to deliver just for 5 km .. Taste is pathetic..,1.0
Yashas Gowda,https://www.zoma.to/wXZmyGa,Ganesh from meghana's food marathalli was very good service and the service management was very very good and i and my friends loved it thank you so much meghana's ❤️,5.0
Rahul Dora,https://www.zoma.to/MZgeazw,"I had ordered Mutton Biryani for which the waiter initially confirmed that the stock for the same is over. But later he asked for someone’s confirmation and took the order for the same along with other orders.<br/>Upon serving, the waiter informed that the mutton Biryani’s stock is over.<br/><br/>Funny thing, we received Mirch ka Salan along with raita which is served alongside Biryani , but biryani was not at all served.",1.0
Abhishek Singh,https://www.zoma.to/ERAoeGw,nice Indians very amazing food my experience excellent awesome service your food quality is a superb staff behaviour is good I am very happy thank you ,5.0
Chris Jo,https://www.zoma.to/nRMlmNv,Late night grab not that bad . Pretty good biryani nice and well seasoned aromatic. reasonable pricing. tandoori chicken was well cooked . overall not bad .Loved the lightings . definitely come again ☺️,4.0
Girish Balakrishnan,https://www.zoma.to/dBKakMP,order was around 1400. Ghobi Manchurian was staled. Food quality was really bad. it was on 30th Dec 23,2.0
Suchetha Karanth,https://www.zoma.to/LAlnQzv,"Meghana Foods is a go-to destination for biryani enthusiasts, offering an amazing array of this flavorful dish. What sets it apart is its commendable selection of biryani options for vegetarians, catering to a diverse range of preferences. The portions are substantial, with one order proving to be fulfilling, making it an ideal spot for families seeking a hearty meal. While the absence of soup options might be a drawback for some, the overall experience at Meghana Foods is a treat, especially for non-vegetarians who can relish the rich and diverse flavors of their biryani offerings.",5.0
Shreya Thakur,https://www.zoma.to/KBrGdGR,"The ambience, service and food is great! highly recommend.  Kamdev was are host and really took great care of us.",5.0
Ankit Kumar,https://www.zoma.to/pgnGLXA,Amazing service by Ganesh and really enjoyed thhe food and service,5.0
Harish Mattla,https://www.zoma.to/NAnPNEQ,"Nice service and Ganesh has good customer interaction,",5.0
Ranjitha S,https://www.zoma.to/aNrLrly,Ganesh was excellent with attitude and he is so passionate about the work that he does.<br/>he is smiling throughout the time we were in the Restaurant.,5.0
Singh Jii,https://www.zoma.to/ERQDMgB,It was my second visit and really enjoyed my dinning must visit the place and specially I'll thank to mr .ganesh nath for his pleasent and charming behaviour towards us . Thank you so much .,5.0
Munilokesh,https://www.zoma.to/GrQArRy,Food is Good and Tasty.. staff is also friendly... <br/>Ganesh has served me food and he is polite and always keeps smile...<br/><br/>thanks to Meghna Team..,5.0
Amita Chauhan,https://www.zoma.to/NARlBXa,"The service provided by Ganesh was very good, very welcoming and warm in gesture",5.0
Ashwini,https://www.zoma.to/eKqlBvG,nice foods decilious taste serve by coptan subbu whitar naveen ,5.0
Prithi,https://www.zoma.to/aNzrXye,"Good biriyani, good sides and good ambience. Everything is a bit too spicy- but biriyani needs to be spicy to taste good. It will hit you in the face while having it but after awhile you will end up craving the same. The restaurant is clean and waiters are very attentive, the drinks we had are lime soda and meghna spl sarbath which is nothing special, its just fine but you will need something sweet right after to balance out the spice. Overall this place is recommended for people who like spicy food and if your not good with spice also recommended - there is a cream stone down the block for dessert. I dont know if its just me or if there really is a difference between the meghna spl biriyani and the other normal biriyanis- all tasted the same. The starters also had a meghna spl 555 which tasted pretty similar to every other chicken starters we tried.",5.0
Maitri Mudumbi,https://www.zoma.to/ynOBzvD,Ganesh was our server today and the food was amazing and the staff was very hospitable ,5.0
Tauseef,https://www.zoma.to/wXRNZRl,Amazing food and good service! <br/>Especially by Ganesh!,5.0
Chaithanya Marasani,https://www.zoma.to/mPwnLkl,Raghavendra and Sumanth's service is very good. food was very tasty ,5.0
Sudheer,https://www.zoma.to/dBmMXlr,perfect taste,5.0
Ramya,https://www.zoma.to/wXkNPEd,service was awesome by Subbu @subramanyam ,5.0
Vinod Kumar,https://www.zoma.to/KBwqyOl,,5.0
Rajesh Chenuru,https://www.zoma.to/pgqkAAG,good sarvice and good food ,5.0
Eswar Chand,https://www.zoma.to/QPNqAlB,"Tasted like hyd biriyani<br/>Service is good- Prasanna Kumar, G Subbu👍👍👍",5.0
Leena Achari,https://www.zoma.to/vzmqYwk,,5.0
Vikram Chavan,https://www.zoma.to/bNemeno,Nice and quiet ambiance with good interiors and supportive staff/ team. I ordered their boneless biryani and pepper chicken. Must say they really use quality ingredients to prepare their food. The rice quality was great and it was perfectly cooked with the chicken masala they put on top of it. If you like spicy then you must try.,4.0
NIKITA MAHAPATRA,https://www.zoma.to/gLgyBLb,,4.0
Jigar,https://www.zoma.to/vzzrvwO,,5.0
Junny Walker,https://www.zoma.to/PXXbkgB,Guntur chicken is very tasty. Chicken Hyderabadi curry bone also very good. service also good <br/> Service ,5.0
Debadutta Rath,https://www.zoma.to/DLNkyZR,"The quality,taste and quality has been degraded drastically",1.0
Duruva Ganesan,https://www.zoma.to/dBNbEEO,,5.0
Tina,https://www.zoma.to/zRdbbvR,Absolutely delicious Hyderabadi style Biriyani. <br/>Good service (by Sai Kumar sir) and pleasant ambience. <br/><br/>,5.0
