Author,Review URL,Description,Rating
Satya Satya,https://www.zoma.to/MxagKg,What a great experience we had. I visited this place with my friends and just loved the food here.the waiter was too friendly and kind to serve the food on time and hot<br/><br/>,4.0
Sunanina S,https://www.zoma.to/BMNENe,Nice service from restaurant. I always order Meghana special boneless Biryani. Packaging and food handling is very good. Keep up the good work,5.0
Manu Manu,https://www.zoma.to/MxaEmB,"Excellent quality and tasty food. Many times coupons are not applicable here , that is a bit expensive but got convinced after tasting the marvelous food",5.0
Rahul Raju Dusa,https://www.zoma.to/GBdzZe,Staff and Ambience : Online order so no comments<br/><br/>Food : yummy tasty chicken Biryani. Mutton was not great for parcel. But I did try at hotel and it was great. It is andhra style as they say. One should not be expecting a true hyderabadi dum Biryani though.<br/><br/>Price : Reasonable. Can't complain much as this is the best Biryani place i could satiate my Biryani cravings.<br/><br/>Packing : I liked the special chicken Biryani packaging esp giving that extra chicken and gravy topping in separate pack amd not mixing it with the rice. ,4.0
Soubhik,https://www.zoma.to/oEgxpQ,"I orders chicken biryani through zomato, the biryani met my expectations. The quantity was sufficient for 2 persons. You could get the rich tastes of all the spices used in the biryani. The aroma was really mesmerising. <br/><br/>I would definitely recommend this to people in Bangalore apart from the traditional biryani centres in and around Bangalore.",4.0
Sainagabhairu27,https://www.zoma.to/MxmEGr,"Recently ordered biryani on online its superb taste and quality also super , one of the best restaurant available for biryani visit once for best biryani ",4.0
Richa Kulshrestha,https://www.zoma.to/Qyxnpg,"While en route to Banglore, I got a chance to explore this “not-so-common” item called ""Paneer Biryani"". With the only a handful of restaurants now catering to this experience, I liked this masala balanced not so spicy, well-cooked biryani. <br/>I also tried the baby corn Manchurian which was okayish.",3.0
Khadeer,https://www.zoma.to/aEvMye,"The food was good as always and spicy. The chicken Biryani should include chicken with it. But, they provided seperately. You can always eat here for good Biryani",4.0
Pulkita Bhatia,https://www.zoma.to/XzKnBd,This place remains as one of the best places to eat biryani in Bangalore. Dum aloo and paneer biryani are very good.Must try according to us.,4.0
Ginger Garlic,https://www.zoma.to/AEPNlZ,"Biryanis at the best. You like spicy food, you are at the right place. The quantity of one item can be shared by two. You get to taste some of the authentic dishes of Andhra Pradesh.",4.0
Devi Sundaram,https://www.zoma.to/AEYElm,"We ordered many items, The overall food is good, but mutton biriyani quantity was less, we didn't get the spice separately for it. Peas masala was with dry peas n very spicy. ",4.0
Tyrion Lannister,https://www.zoma.to/wOrRmg,"Visited this place on weekday for lunch, though the crowd was there, we got the table quickly.<br/>Tried dragon chicken(named as meghana special in menu) and mutton kheema biryani. Both were really good. Taste and quantity. ",4.0
Akhil Khatri,https://www.zoma.to/ZAwgLa,"Meghana Foods Grand is one of those restaurants which is very consistent with the food quality and taste. I have tried at least 25 of their food items and I must mention that every single item was very good. The portion size is very good too.<br/><br/>Just one thing which I hope they work on is their staff. At times, the staff gets hyper or make silly mistakes of serving wrong dishes during rush hour, and takes too long a time to prepare food.<br/><br/>Overall, it's a must visit place. Do give it a first try and you shall visit again and again. And yeah, missed to mention about their delivery. It's usually impressive. The food is delivered on time and fresh and hot. ",4.0
SGJi,https://www.zoma.to/GyZAQZ,Ordered chef's special biryani. Real bad stuff. Felt nauseated after eating their pathetic biryani. Rice was of very poor quality. Chicken pieces were very few. 320 bucks went down the drain. Quantity of rice is enough for 2 people. But avoid this place. Dont go by their rating as it is all managed.,1.0
Pamela Banerjee,https://www.zoma.to/YmakXO,"Service is very prompt - anything you order is bound to be served at your table within five minutes. I found the Biriyani to be very flavour-ful, not overwhelmingly spicy. Same goes for the Chicken fry . But weight watchers will definitely be in shock to see the amount of oil floating in the chicken fry or even, the biriyani. Another negative point I found was - both the items were reheated and served to us - I missed the freshness of a dish.&amp;amp;nbsp; Nevertheless, it is a bustling joint - I loved the attention they were giving to each customer inspite of the huge crowd.",3.0
Murali Allam,https://www.zoma.to/PZdMnn,"Only wasted masala u deliver to the customers, how people can eat only masala rice. This is like horrible service by u. Not once every time it was same experience. No more u in my list. Greedy management hungry customers.",5.0
Ramakoteswararao V,https://www.zoma.to/mgNnea,I had ordered a chicken biryani and egg biryani from meghana but the taste was not good.The rice could have been more cooked.<br/>Taste is average. We can get better biryani in other place with low price.,1.0
Nagesh Dutt,https://www.zoma.to/eNBLmD,I Visited this restaurant multiple times. Specially when I miss Briyani. Bcoz of restaurant is very close to my home and delicious food.<br/><br/>I loved here boneless chicken biryani and megha special biryani. Food taste wise always tasty.<br/><br/>Service would be really appreciated if it is little faster. Ambiance was very good.<br/><br/>Must recommend everyone. ,4.0
Seshagiri.jadda,https://www.zoma.to/PZApAw,We ordered 2 Meghana special chicken biryani from marathahalli branch and it&nbsp; was not good. it is bitter in taste due to over fried masala and too oily.,2.0
Debjeet Basak,https://www.zoma.to/dpYBXx,"They specialize in biryanis. We ordered chicken, egg and panner biryanis. The food was really good. The quantity of their biryani is mentionworthy. It is more than enough for a single person. Ambience and service were okay. And it was a good experience. ",4.0
Sathiyendran,https://www.zoma.to/MgOAvP,This one is the closed Megana to my place and have visited multiple times. Fav of their dish is Chicken Boneless Biriyani and Megha Spl Biriyani. ,4.0
Harsha Gupta,https://www.zoma.to/eNYMeL,Boneless chicken biryani here is one of the best biryani I have tasted in Bangalore. Their starters are also amazing.<br/>A must try place in Bangalore.,5.0
Nikhilkrishna58,https://www.zoma.to/pZLMzn,"This is what I found in the biryani .<br/><br/>Zero hygiene ,imagine people who just ate the same batch of food ,disgusting.<br/><br/>I want the restaurant to take this seriously and apologise .<br/><br/>Will never visit nor order from this shitty place<br/><br/>",1.0
Vishaal S,https://www.zoma.to/GyempX,"FOOD ALERT #FOODONTHEROAD<br/><br/>WHERE : MEGHANA BIRIYANI , BANGALORE<br/><br/>WHAT : BIRIYANI , BIRIYANI , BIRYIANI<br/><br/>WAS IN A ROAD TRIP FROM CHENNAI TO BANGALORE.<br/><br/>Have got some positive and must try spot about this place and yes this is the worth the try and hype<br/><br/>Banglore la Andhra style biriyani that’s the oneliner of this restaurant<br/><br/>This place has 5 outlets in Bangalore I reckon will put the location of the shop below<br/><br/>Our order:<br/><br/>Mutton Biriyani (301₹) : This is simple hydrabadi mutton biriyani (yes that rice and mutton masala combo) was really good. The mutton was so soft and tender and tasted soo good<br/><br/>Mutton Kheema Biriyani (313₹): This was wow . perfect blended mutton kheema masala and served with that biriyani rice . This was soo good and the kheema was just mouth watering and I literally started to drool.<br/><br/>Meghana’s Spl Biriyani (Chicken) (258₹): Their signature dish it seems . The masala was spicy and tasted soooooo good the chicken was like that Andhra chicken gravy tasted good<br/><br/>Mushroom Biriyani(270₹): Yipieeeeee Haven’t tried a a veg biriyani like this the mushroom tasted sooo good that at one point of time I taught it was a mutton piece (sorry sorry sorry)<br/><br/>Prawn Biriyani(315₹): For seafood lovers this will be a treat for you guys a must try this one as well<br/><br/>Chicken Fry Biriyani(258₹):Andhra chicken masala (spiced) and tasted soooooo good<br/><br/>Tandoori Chicken Full(455₹): Regular chicken tandoori tasted good and that mint chutney they served was lit <br/><br/>DISCLAIMER: All biriyani will be a combo of gravy and rice (that’s the hydrabadi biriyani) and the quantity was huge so plan accordingly<br/><br/>Overall a must try food spot in Bangalore especially for biriyani lovers<br/><br/>Food :4/5<br/><br/>Price:4/5<br/><br/>Ambiance: 4/5<br/><br/>Hospitality:4/5",4.0
Abirami Sathiavasagam,https://www.zoma.to/ymPnRa,Excellent place for tasty biryani and yummy starters as well...Crowded place... you'll have to wait for sometime during peak hours...Decent place to dine at..a must try restaurant 🥰,5.0
Deepanjan Banerjee,https://www.zoma.to/YmpwqA,Enjoyed some good andhra dum biriyani along with chicken butter masala. If i stayed in bangalore I'd come every weekend. Service is good too and it has a reasonable rate. 4/5 ,4.0
Prabhat Dey,https://www.zoma.to/ENmLXM,I enjoyed my food here. The biryani is superbbb here. This is the one of the best restaurant in Bangalore specially for biryani and services.,5.0
Nrusingha Behera,https://www.zoma.to/LolEQZ,"Meghana foods Grand is one of the best places in marathalli to feed your hungry tummy with the delicious Biryani, its biryani would leave you licking your fingers and with utmost satisfaction.... ",5.0
Ranjitha KL,https://www.zoma.to/MgblLp,"I am very big fan of Meghana, I have visited all the outlets in Bangalore. MG road meghana is my favorite among all. Recently I have ordered mutton biriyani and lemon chicken from Marattahalli meghana. Lemon chicken is really awesome but mutton biriyani is worst it’s completely filled with masala no rice no proper mutton pieces.. I am not blaming the restaurant, please don’t do it for food parcel...we really like meghana... I personally suggested many for this restaurant. If it disappoints like this then, sooner it will loose its name of quality.",2.0
SHAURYA RATNA,https://www.zoma.to/bQRPYB,I had ordered a special chicken biryani from here... The chicken and biryani were separate first of all... So it was a little disappointing as I am used to biryani in hyderabad... But the taste was good and chicken was perfect blend of spices.. The rice could have been more cooked. ,4.0
Koyel Biswas,https://www.zoma.to/xzgQaD,This used to be our most favorite biriyani place. Today we ordered the food via zomato. As usual the chicken biriyani.. Sad but the road side and office canteen chicken biriyani taste better... Never going to order it again. 283 rs was a waste. ,1.0
TaNuJa,https://www.zoma.to/nezrry,Meghanas is the best restaurant in Bangalore for Andhra style biriyani ! Had paneer biriyani and turns to be the best i ever tried! Must visit,5.0
Pravallika Reddy,https://www.zoma.to/ymerOG,Who doesn’t love this biryani of course everyone does Meghana biryani is a must try one and I love it and starters are amazing and I atleast go to Meghana biryani weekly 3 times ,5.0
Mukund Makwana,https://www.zoma.to/zAyaQQ,"This people give bill before they serve order..<br/><br/>Imagine, your food came and same time your bill also received.. Before you start having food, they start asking you to pay bill..<br/><br/>",1.0
Krishna Metlapalli,https://www.zoma.to/gyoOLq,"Ordered 2 boneless biryani but i got biryani rice chicken packets are missing ..immediately i called up restaurent instead of asking for apology with a rude manner he is saying ""if you want come and collect yourself"" ..this shows true colors of service here keep it up.",1.0
Rajaram R Talekar,https://www.zoma.to/LoMLvZ,Quality food and very good customer service is good as well.<br/>Nice ambience. Value for money spent. little crowded during peak hour making it difficult to get table.,4.0
Debjit Adak,https://www.zoma.to/BQKedd,"Meghana Biryani is famous all around Bangalore and they don't disappoint. I previously had been to their kormangala branch and loved it. So when a few friends suggested this, it was a no brainer! There are 2 floors with ample seating options. Since we went for lunch at 2am, the place was bursting with energy. There were so many waiters and servers running around. We ordered a paneer Biryani and a Meghna special Biryani. And a chicken kebab. Loved the kebabs and the paneer Biryani was good. Somehow we didn't really like the Meghna special chicken Biryani. Wish we had ordered the normal chicken Biryani instead. Anyway, it was ok. The Biryani was atomatic, hot and flavourful. And we didn't have to wait long. The servers were pretty quick with our orders. Good experience. Will visit again.<br/><br/>Overall:<br/>Food: 4/5<br/>Service: 5/5<br/>Ambience: 3/5<br/>Value for money: 4/5",4.0
Swarna Routray,https://www.zoma.to/qaZymp,"I felt the place is a little overrated. We had ordered chicken biryani(bone) bt I didn't like it that much, maybe coz I had alot of expectations from the place. They had Meghana spcl 555 starter which was okay. And Andhra special chilli chicken cud have been better.",3.0
Jit Saha,https://www.zoma.to/bQOdpP,"The place is not quite cheap compared to overall experience. The ambiance was congested on the sunday noon. We ordered pepper chicken, Andhra style chicken, chicken Biryani and lollipop biryani. Lollipop biryani was disappointing. Chicken biriyani was ok. Pepper chicken tasted great and Andhra style chicken was good too. Starter quantity was impressively more which kind of validates the price. ",4.0
Prutha Desai,https://www.zoma.to/vqLRxl,"It is a good place for having lunch and visit with family and friends. The biryani served is really tasty, spicy and in good quantity.<br/>Service- 2.5/5<br/>Ambiance- 3.5/5",3.0
Jilani Sayyad,https://www.zoma.to/wOmoPR,"Dear Team, quantity is very less it is not sufficient in my family even kept high money.my suggestion is to provide better quality so that it will be useful to the customer.",1.0
Reddy Bhuvan,https://www.zoma.to/mgvZZR,I was order one lollypop biryani and one bone less biryani. They was delivered only one bone less biryani and one Biriyani rice only. Don't believe them. Go with physically and get it and save your money as well.,1.0
Srisindhu4376,https://www.zoma.to/GyGXOZ,Service was polite and friendly.<br/>Ambience was good to hangout with friends and family.<br/>Food was very tasty and hygienic and served nicely ....,5.0
Ashok Raj,https://www.zoma.to/qaMweo,"Meghana foods team least bothers about any missing items in the order, when you call them to check about the missing order. they ask to call Zomato regarding refund and then when you call zomato, they say you have to contact Meghana food. <br/><br/>They don't care about your order, absolute apathy towards the customer.<br/><br/>i wish there was ""0"" to rate their customer service",1.0
Nikita Mishra,https://www.zoma.to/dpLkkr,"Have visited this place multiple times. My favourite dish to order is Meghna Spl. Chicken biryani. I have tried paneer biryani , chinese fish fried. Out of these fish fried was not good. Except for that very reasonable price for biryani. Must visit for it. Keep it up. ",4.0
Aishwarya,https://www.zoma.to/NePbaP,"The veg meals is absolutely amazing. Especially the podi and rice.<br/>Paneer Biryani was average, not so spicy or masaladar.<br/>Dum aloo biryani comes with really big aloo pieces. Again very average<br/>Paneer 65 was too hard and rubbery.<br/>Golden Babycorn was not cripy, instead long and flimsy.<br/>Not a very good experience this time.",3.0
Bharat Sharma,https://www.zoma.to/bQbDKB,"One of the Best biriyani I had in a while. Just loved the taste. The environment in the restaurant is good. It's a good place to visit with family and friends. Great and fast service and worth for money. The chicken and mutton pieces was wel prepared and nicely cooked and rice and masala properly cooked. They have big sapce, Valet parking available and One the best option we can eat on banana leaf or even you can choose normal plates, Rate was ok. Overall it's one the best place to try biryani.",4.0
Abhisekh Das,https://www.zoma.to/NebDmk,"The biriyani served is really tasty , spicy and is good quantity - very much appreciated for food .<br/>Ambience - not good its little bit messy place.<br/>Service - ok ok .",3.0
Shobha Nand Das,https://www.zoma.to/aENpbn,Last to last Friday we went here. Good taste. Nati chicken biryani was good. We got little spicy food but if you say less spicy then prepare that way( I guess). Cost is little high compare to biryani at other place. Good service. Liked it.,4.0
Sushanto Bhattacharya,https://www.zoma.to/mgRpwl,Ordered fish biryani from here recently. The fish pieces were good and tasty but the problem with the dish is they just took some biryani rice which wasn't flavorful and gave it with the fish pieces in some gravy kind of. The taste was good but it didn't mean a fish biryani..the rice didn't have the flavor of fish at all.<br/>Will try other times and probably then the rating might change. For now 3/5,3.0
SubbaRao,https://www.zoma.to/bQMOxo,"Ambience is not good. It's like a market. They take 1st order immediately so the customers will not leave. But for intermittent order, they will make you to sit for hours. Taste is good. ",2.0
Mahesh,https://www.zoma.to/onvwGl,"We ordered spl fish fry ,chicken fry pice biryani super testey, sarvice also very good . <br/>one of the best biryanis <br/>Bangalore <br/>",5.0
Blank,https://www.zoma.to/wOxoqG,"Testfds kjfdsjklfdsljkfds lkdsfjklsfdjkldfsjkld fsdlkjfdsjlkfdjklfdlj fsdlkdfsjkfdsjlflsjkd fdjlslkfsjlfs klsdfjkfdjksfdjk fskjfdsjkfdljfds fsdlkfsdljk'"">",4.0
Suresh P,https://www.zoma.to/GydYEL,Oorder home delivery very quick good very resty food ckn maharaja meg 555 fishappllow boneless biriyani maintenance good perfect time👌👌👌👌👌👌👌👍superb,5.0
Himanshi Bhugra,https://www.zoma.to/neoaxO,"One of the best biryani places in Bangalore . Strongly recommended. Must try : Meghana special biryani, Chicken boneless biryani and Paneer Biryani for vegetarians.",4.0
Murali,https://www.zoma.to/NeaXKD,Chicken Boneless Biryani is my favorite all time. I always love to order this Boneless Biryani when I have Biryani in my mind to eat. It will be a special Recipe of meghana for Biryani ,5.0
Sheela Sijin,https://www.zoma.to/NxEKBX,"The biriyani here spoils u forever coz after having biriyani here, u won’t like any other biriyani anywhere else!!  best biriyani ever!!! Must try!",5.0
Pooja Majage,https://www.zoma.to/MDxzdv,Heaven for biriyani lovers. The food is perfectly spicy. Cooperative staff and at the best prices possible. Need more outlets around the city.,5.0
Mahesh_naidu,https://www.zoma.to/OXwxAL,Chef's special is not so special after all they didn't even look at requests during order and food is cold even delivery time is around 15min never gonna order again from this place I don't know how it get 4star rating on zomato,1.0
Rahul Kumar,https://www.zoma.to/PEZrLe,"Ambiance - 3.5/5<br/>Food - 4/5<br/>Service - 1/5<br/><br/>Four friends visited the place on Sunday evening. We were the second people to take a table.<br/><br/>Food first, biryani is good(both veg and chicken) as was the expectations. Paneer gravy is average, didn't like it much.<br/><br/>Now the disappointing part. The menu has a soft-drink option of 600ml but they won't serve you. It is there in restaurant but it will only be provided in online orders even though it is on menu. The staff would not serve until asked even though he has nothing to do than standing few feets next to you. Overall due to multiple things, was disappointed by the service provided.<br/><br/>They shouldn't behave this way especially when they have good competition nearby. ",2.0
Murali Dhar,https://www.zoma.to/BBQvEo,My group visits dinning best place for family order lollipop spl fish fry Meghan a 555 sholey kabab mein course boneless biriyani totally superb taste excellent ,5.0
Neha Hiremath,https://www.zoma.to/bKKgkA,Had been here for a team lunch!! A colleague suggesed we try this place.<br/>Tried:<br/>Mushroom chilli (2/5)<br/>Panner biriyani (3/5)<br/>Honest opinion : the place is over rated!<br/><br/>,3.0
Shan,https://www.zoma.to/GzZpEo,Meghana special Chicken Biryani Boneless on of my Best i loved that Biryani and the packing also good.. Only giving 3 star because they are not given hot food so ,3.0
MeK,https://www.zoma.to/GzDRXd,"Have been here atleast 5 times over the last one year, but must say that the quality and service has deteriorated over the period of time.<br/><br/>Meghna Biryani swears by the Biryani.. and on a Sunday they were serving only one biryani and that was the boneless biryani. Having no choice ordered that. The rice was cooked separate and lacked flavours for sure. The chicken was also not cooked perfectly. The taste was just average.<br/><br/>And for a Biryani they took 20 mins to serve. Pretty long for something that shoukd be ready.<br/><br/>We also ordered fish fry and ghee rice. Fish was fresh, but the taste was pretty average.<br/><br/>Need to improve quality or will start losing customers",4.0
Umesh M,https://www.zoma.to/MDMREp,"The place, famous for its biriyani and it doesn't disappoint. The mutton biriyani is my favourite here. I have even tried paneer biriyani here and its's good. Very pocket friendly place and surely worth the visit.",5.0
Shahin,https://www.zoma.to/lDgMnA,I ordered home delivery from meghanafoods grand marthalli very fast delivery food tasty specially guntur ckn sholey kabab boneless biriyani famous ,5.0
Rajiv Reddy V S,https://www.zoma.to/pQLQaA,"I had very good experience with all other Meghana foods outlet, took team with same expectation, however we were totally disappointed, non veg was served to veg folks, this was the worst that could have happened, and the bike parked outside was towed away, this probably was our mistake, but want to point out that there is no proper parking facility. Finally when we went to pay the bill, they say swiping machine is not working. Overall was a very BAD experience.",1.0
Djay Warrior,https://www.zoma.to/kLlzaY,Chicken biryani which was prepared here was very yummy was tasty I liked very much. But fully crowded area in the weekends. But the taste is superb ,5.0
Mallikarjuna Arjun,https://www.zoma.to/Zorgon,Hi meghana foods Grand I had for lunch yesterday food very tasty particular boneless chicken biriyani excellent ckn Maharaja also good good maintenance 👌👌👌👌👌superb,5.0
Saranprasad Medisetty,https://www.zoma.to/rpMEey,They charged 32 rupees for a AQUAFINA Water Bottle where the actual MRP is 19. They slapped me a bill of 30 rupees with Rs.2/- GST. I shocked by seeing the bill.<br/><br/>,1.0
K.suresh Reddy Sure,https://www.zoma.to/aBpxvQ,I ordered Home delivery very fast food was delicious very taste spl 🐠 fry surging Meghana 555 lolipop chicken boneless Britani excellent overall good ,5.0
Anvitha Ann,https://www.zoma.to/xGbAxZ,I always order biryani from meghana foods but the biryani which i ordered today was horrible.. Instead of chiken biryani u shud rename it as chicken salt biryani.. N the masala was also not mixed properly.. Uff horrible taste... ,1.0
Swati Khatter,https://www.zoma.to/XrvbmB,"I found a difference in quality of Biryani ordered and when had there. Would always prefer having there.<br/>When had there, the biryani was super tasty.<br/>Would have def given it a 5 star, had it been of the same taste during home delivery too.<br/>",4.0
Ganesh Shetty,https://www.zoma.to/EqGAXX,"Famous for biriyani, so we were here to try it and liked both the non veg chicken biriyani and the veg paneer biriyani. Other dishes were okay okay. Worth visiting the place only for the biriyani. Decently priced.",4.0
Alok Dey,https://www.zoma.to/GzgKMw,"If you are a biryani lover then Meghna foods is place to go.<br/>I have been to this place multiple times and will continue going there whenever I'll feel the craving of biryani.<br/>Sadly I am a vegetarian/eggiterian so couldn't try much.<br/>I tried veg special, paneer and egg biryani till now and all these were pretty spicy. I would definitely recommend this place to all. ",5.0
Chandrika,https://www.zoma.to/rpoEar,Visited this place after listening from almost everyone.. about their biryani... But either i was keeping too hope from this after listening from all.. or they are not really best.. yes within this area this might be best... But this is not best you can eat...so from my side i will give 3.5 only.. for both veg and non veg .. nothing new and extra ordinary in their biryani,3.0
Saurabh Rakesh,https://www.zoma.to/odmbwq,These people are cheaters. Along with food we ordered 3 cold drinks with MRP in bottle as ₹18. They charged ₹30.<br/>Same they did for water bottle. For MRP of ₹19 they charged ₹30.<br/>They show a newspaper cutting attached in this review for justification.<br/>I am not sure how fake this clip is.<br/><br/>Guys be careful with such frauds.,1.0
Ravi Teja,https://www.zoma.to/YGzMon,"The Food here is great, this is very typical andhra style restaurant.The biryani here is superb and the taste here stays usually constant thats what i like about it and the service is also great but at times it feels slow . I also liked the andhra meal over here , i guess this is the only place i can get proper ulavacharu in my meal which i like it a lot",4.0
Ajit Mahapatra,https://www.zoma.to/AYRgdq,Meghana Special Biryani is just wonderful! Biryani lovers must give it a try👍 for an unforgettable experience. Add to that Apollo fish 🎏 as a starter 😀,5.0
Sandeep,https://www.zoma.to/pQzGGA,"Meghana foods - Marathahalli....<br/><br/>Expensive yet average food<br/>Need 10-15 min to get a coke from fridge<br/>Ans when asked about charging coke more than MRP, didn't have a explanation and gave me some card to read.<br/><br/>Not visiting this place again....",1.0
Gopi Govardhan,https://www.zoma.to/zgeKQQ,I ordered home delivery very fast delivery orderd spl fish fry and ckn sholey kabab Meghana spl biryani royala seems very tasty thanks formeghana foods grand',5.0
Veera Pandian,https://www.zoma.to/qwmGgQ,Actually I loved this place as well as Briyani.<br/>Good Ambience.<br/>Good Service.<br/>There is no other words to describe the taste .I will give 1000% ..,5.0
Tummy Buuny😋😋😋,https://www.zoma.to/wrNyyO,Excellent food<br/>Good ambience<br/>Good response<br/>Taste was really AWSOME<br/>Had so many times from here same taste and same response<br/>Once atmosphere<br/>Loved it<br/>👌👌👌👌😋😋😋😋😋😋<br/>I suggest this place for families<br/>,5.0
Srinivas R,https://www.zoma.to/lDazMK,One of the most popular biriyani boneless ckn biriyani hear meals also very tasty weekend very crowd meghana 555 famous service good best place for andhra style food superb 👍👍👍👍👍👍👍,5.0
Payal Khandelwal,https://www.zoma.to/DknZOA,One of my favorite places to have biryani in Bangalore. Love their paneer biryani 😍. Service- 4/5; Ambience-4/5; Food-5/5. Would definitely recommend this place.,5.0
Sridhar Bellam,https://www.zoma.to/xGaQve,"Quantity of biryani reduced to half at the same price. Quality is same. Increasing the price should be considered as option instead of stripping the quantity to half.<br/><br/>Recent order, they are back to earlier quantity",5.0
Supriya Nayan,https://www.zoma.to/eOybRE,"It is located on the service road, you may miss out if not observed. We had alu biriyani and veg biriyani also Panner chilli starter. Chilli Panner was okay but those biriyanis pored all the stars. It was amazing, truly the best. ",5.0
Satish Krishna,https://www.zoma.to/bKxMOB,"Ambience - 3.5/5<br/><br/>Food - 4.5/5<br/><br/>Pricing - 4/5<br/><br/>The biriyani is what the place is famous for. That is what keeps me coming back again and again to the place. Along with chicken biriyani, other dish that I would recommend is the chicken lollypop. Veggies can try paneer or potato biriyani.",4.0
Ankita Sinha,https://www.zoma.to/zgmzMG,Food is outstanding Meghana special chicken Biryani is a must try dish ambience is average and service is very fast it's always always super crowded ,4.0
Mahesh Savalagi,https://www.zoma.to/zgwnMk,cool place n Very good taste...specially boneless chicken Biryani yumm and in starters lemon chicken is very good option...love to go there often,5.0
Muneer Ahmad,https://www.zoma.to/gmExMA,"Excellent food with impeccable taste, ordered biryani today it was just splendid!! Well done zoomato team, on time delivery, extremely good experience!!!",5.0
Soorya Sahu,https://www.zoma.to/EqpxBk,It's 8:22 PM and the restaurant says tht they don't have Chicken Biryani (bone) for dinein but on the same time tht item is available on online swiggy zomato nd ubereats.<br/>The service guy always wants us to order boneless which we don't like. If i wish to eat chicken Biryani bone then you can't Force  it. Zero stars for the 3rd class management.,1.0
Aasish Kumar,https://www.zoma.to/pQPpvm,One of the best biryanis I ever had and I will have till I stay in Bangalore. Starters will be too tasty making us to order more and more. And I love meghanas boneless biryani it's a must try.,5.0
Nixon Mendez,https://www.zoma.to/mxXYmy,"I have heard so much about the Meghana biryani and I was wondering what is the buzz all about. So I decided let me try out their biryani. Apparently, they have 3 floors to accommodate so many customers. Coming to food what caught was the Meghana special chicken Biryani and the Meghana Chicken 555. So the Meghana Special Biryani was that the chicken and egg was cooked together so that chicken so fluffy and soft. The biryani was so delicious and it had so much quantity that 2 people could eat it. The Meghana Chicken 555 consisted of strips of chicken which was cooked with spices. It was spicy and also tasty and I love it.<br/><br/>The service was good, the waiters knew what they are serving. The food was served without any delay. Overall loved it all.<br/><br/>Online delivery<br/><br/>So we had a small office party and I suggested that we can order from Meghana.<br/><br/>We had ordered my favourite Meghana Chicken 555, Paneer 65, Chicken Lollipop as starters and Meghana special biryani, Lollipop biryani, Boneless Chicken Biryani and Paneer Butter Masala.<br/><br/>The chicken Lollipop had such unique taste and flavours. The paneer 65 was good, with tasty spicy coating outside and the soft paneer inside. The paneer butter masala was bit oily though but the taste compensated it. Moving on to the Biryani I loved all of them. The boneless chicken masala was a bit spicy but that was the punch in it. The packing of the food was good there were sufficient gravy and raita for all. Again Meghana food has never let me down.<br/><br/>Location ➡️ Meghana Foods Grand (Marathahalli, Bangalore)<br/><br/>Like/Follow/Comment #tangytreats",5.0
Ashish,https://www.zoma.to/yoEyEv,I had my first Paneer biryani and I am still in love with it!<br/>The place is right on the main road so not tough to find and serves delicious biryanis. Must visit if you’re around Marathalli!<br/><br/>Food-4/5<br/>Location-4/5<br/>Service-3/5<br/>Ambiance-3.5/5<br/>Value for money-3.5/5,4.0
Rajesh,https://www.zoma.to/nXAooa,"Super Well, the biryani here is awesome.This place is definitely great for anyone who loves biryani. But for anyone not interested in eating biryani, not much to look forward too",5.0
Subhankar Tripathy,https://www.zoma.to/Gzwven,Been here several times! Quick service!! Not easy to find a seat on weekends! Food is good! Never ever go to 3rd floor for dine in! Try in 1st & 2nd floor! Awesome biriyani👌!,4.0
Nitin Saxena,https://www.zoma.to/nXKvnq,"Well, the biryani here is awesome. I have been to this place multiple times and kind of addicted to their mutton keema biryani and chicken biryani. The flavor here is different from other conventional biryani joints..<br/>Do try if you are a biryani fan.. Otherwise too",4.0
Himanshu Bagga,https://www.zoma.to/PEBmpa,"This place is definitely great for anyone who loves biryani. But for anyone not interested in eating biryani, not much to look forward too. I tried their special boneless and normal leg piece biryanis and both of them were delicious. ",4.0
Manikanta Nallamalli,https://www.zoma.to/xGKREZ,One among the best hotels to get the Andhra style food. Price worthy and totally delicious food with Rich interior Ambience. Must try: Special biryani ;),4.0
Prannoy Joseph Lakaparampil,https://www.zoma.to/PEGBKa,You will get best boneless Hyderabad chicken Biryani. It's a must try item if you visit this place. This place serves good starters also. Ambience across Meghana Foods in Bangalore looks same and not great. I think the management should find ways to optimise the resources to avoid long queue during weekends.,4.0
Vegetariano_SinS,https://www.zoma.to/gmlZDk,"Tasted three starters, and they are More of spices and oil but wasn’t tasty.. I liked golden corn a bit though out of the three. Had paneer biriyani as a main course. The Taste is very ok. ",2.0
Chaitanya Krishna,https://www.zoma.to/DkOneL,"Meghana special biryani....as usual its very good and every time same  taste, bone less chicken biryani is too good.Home delivey also quick and on time. ",5.0
Naveen Kumar M,https://www.zoma.to/PEwMOR,Great food never compromise with the quality and the taste we had veg everything was tasty from starters to main course. Family and friends can visit,4.0
Arshad,https://www.zoma.to/YGlZqN,Biryani here is good and different from most of the Biryani joints in Bengaluru. Meghna special chicken Biryani and chicken dum Biryani are recommended.,4.0
