url,name,rating,source_page,rank,discovered_at_utc
https://www.zomato.com/bangalore/koko-airport-road-bangalore,KOKO,4.9,https://www.zomato.com/bangalore/fine-dining-restaurants?sort=rating&page=1,1,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/rim-naam-the-oberoi-mg-road-bangalore,Rim Naam - The Oberoi,4.9,https://www.zomato.com/bangalore/fine-dining-restaurants?sort=rating&page=1,2,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/hustle-hsr-bangalore,Hustle,4.9,https://www.zomato.com/bangalore/great-breakfasts?sort=rating&page=1,3,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/ahara-electronic-city-bangalore,Ahara,4.9,https://www.zomato.com/bangalore/iconic-restaurants?sort=rating&page=1,4,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/falak-3-jakkur-bangalore,Falak,4.8,https://www.zomato.com/bangalore/fine-dining-restaurants?sort=rating&page=1,5,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/tasting-room-bengaluru-oota-company-ulsoor-bangalore,Tasting Room - Bengaluru Oota Company,4.8,https://www.zomato.com/bangalore/fine-dining-restaurants?sort=rating&page=1,6,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/truffles-2-st-marks-road,Truffles,4.8,https://www.zomato.com/bangalore/great-breakfasts?sort=rating&page=1,7,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/yataii-shangri-la-hotel-1-vasanth-nagar-bangalore,Yataii - Shangri-La Hotel,4.8,https://www.zomato.com/bangalore/omakase-bars?sort=rating&page=1,8,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/yauatcha-mg-road,Yauatcha,4.7,https://www.zomato.com/bangalore/fine-dining-restaurants?sort=rating&page=1,9,2026-04-19T15:52:48.328430+00:00
https://www.zomato.com/bangalore/ssaffron-shangri-la-hotel-vasanth-nagar-bangalore,Ssaffron - Shangri-La Hotel,4.7,https://www.zomato.com/bangalore/fine-dining-restaurants?sort=rating&page=1,10,2026-04-19T15:52:48.328430+00:00
