Area,Restaurant Name,Rating,Cuisine,Price,Link
Koramangala,Maize & Malt,N/A,"Continental, Asian, South Indian, North Indian, Salad, Momos, Desserts","₹2,600 for two",https://www.zomato.com/bangalore/maize-malt-whitefield-bangalore/info
Koramangala,Shift Lounge & Bar,N/A,"Finger Food, Continental, North Indian, Salad, Seafood, Mughlai, Alcoholic Beverages, Beverages","₹2,000 for two",https://www.zomato.com/bangalore/shift-lounge-bar-hsr-bangalore/info
Koramangala,BLR Brewing Co.,N/A,"North Indian, Continental, Asian, Chinese, Pizza","₹1,600 for two",https://www.zomato.com/bangalore/blr-brewing-co-1-whitefield-bangalore/info
Koramangala,Jamavar - The Leela Palace,N/A,"North Indian, South Indian","₹5,000 for two",https://www.zomato.com/bangalore/jamavar-the-leela-palace-airport-road/info
Koramangala,ICB Indian Craft Brewery,N/A,"North Indian, Asian, Continental, American, Chinese","₹2,000 for two",https://www.zomato.com/bangalore/icb-indian-craft-brewery-nagawara-bangalore/info
Koramangala,Oyster Bar & Kitchen,N/A,"North Indian, Chinese, Continental, Beverages, Bar Food, Desserts, Asian, Pizza","₹1,400 for two",https://www.zomato.com/bangalore/oyster-bar-kitchen-hsr-bangalore/info
Koramangala,Uru Brewpark,N/A,"North Indian, Asian, Continental, Desserts, Italian, Kebab, Pizza","₹2,800 for two",https://www.zomato.com/bangalore/uru-brewpark-jp-nagar-bangalore/info
Koramangala,Zen - The Leela Palace,N/A,"Salad, Asian","₹3,500 for two",https://www.zomato.com/bangalore/zen-the-leela-palace-airport-road-bangalore/info
Koramangala,ABV - Artisanal Bier Village,N/A,"Continental, Asian, North Indian, Italian","₹2,500 for two",https://www.zomato.com/bangalore/abv-artisanal-bier-village-whitefield-bangalore/info
Koramangala,Citrus - The Leela Palace,N/A,"North Indian, Indo-Chinese, Street Food","₹4,000 for two",https://www.zomato.com/bangalore/citrus-the-leela-palace-airport-road/info
Koramangala,Helen's Place,N/A,"European, Asian, Modern Indian, Italian, Portuguese, Pizza, Chinese, North Indian","₹1,500 for two",https://www.zomato.com/bangalore/helens-place-1-marathahalli-bangalore/info
Koramangala,Quarter Peter,N/A,"Bar Food, South Indian","₹1,100 for two",https://www.zomato.com/bangalore/quarter-peter-indiranagar-bangalore/info
Koramangala,Roxie & Barry,N/A,"European, Italian, Pizza, North Indian, Continental, Asian, Japanese, Pasta","₹1,500 for two",https://www.zomato.com/bangalore/roxie-barry-whitefield-bangalore/info
Koramangala,Idylll - Indian Plates & Cocktails,N/A,"North Indian, Modern Indian, South Indian, Seafood, Kebab, Alcoholic Beverages, Healthy Food, Desserts","₹2,600 for two",https://www.zomato.com/bangalore/idylll-indian-plates-cocktails-indiranagar-bangalore/info
Koramangala,OASIS BREWERY,N/A,"Asian, Modern Indian, South Indian, Burger, Pizza, Beverages, Salad, Mexican","₹1,500 for two",https://www.zomato.com/bangalore/oasis-brewery-mahadevapura-bangalore/info
Koramangala,Smoke House Deli,N/A,"Continental, Italian, BBQ, Fast Food, Ice Cream, Salad, Desserts, Beverages","₹2,300 for two",https://www.zomato.com/SmokeHouseDeli-Indiranagar/info
Koramangala,Byg Brewski Brewing Company,N/A,"North Indian, Continental, Asian, Pasta, Burger, Fast Food, Desserts, Pizza","₹2,300 for two",https://www.zomato.com/bangalore/byg-brewski-brewing-company-hennur-bangalore/info
Koramangala,boCHE & Shakesbierre - Brewpub & Club,N/A,"Finger Food, North Indian, Continental, Italian, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/bangalore/boche-shakesbierre-brewpub-club-brigade-road-bangalore/info
Koramangala,Suka Brew and Kitchen,N/A,"North Indian, Seafood, Salad, Chinese, Fast Food","₹1,200 for two",https://www.zomato.com/bangalore/suka-brew-and-kitchen-nagarbhavi-bangalore/info
Koramangala,KAI Bar And Kitchen,N/A,"Asian, Continental, Oriental, Mediterranean, Desserts","₹4,000 for two",https://www.zomato.com/bangalore/kai-bar-and-kitchen-mg-road-bangalore/info
Koramangala,PHURR,N/A,,"₹1,500 for two",https://www.zomato.com/bangalore/phurr-indiranagar-bangalore/info
Koramangala,Coastal Machali Co.,N/A,"Mangalorean, North Indian, Seafood, Chinese","₹1,300 for two",https://www.zomato.com/bangalore/coastal-machali-co-residency-road-bangalore/info
Koramangala,Pizza 4P's,N/A,"Pizza, Pasta","₹2,000 for two",https://www.zomato.com/bangalore/pizza-4ps-indiranagar-bangalore/info
Koramangala,Pasta Street,N/A,"Italian, Pasta, Pizza, Continental, Salad, Healthy Food, Desserts, Beverages","₹1,800 for two",https://www.zomato.com/bangalore/pasta-street-indiranagar/info
Koramangala,Kaavu,N/A,"North Indian, Cafe, Italian, Continental","₹1,500 for two",https://www.zomato.com/bangalore/kaavu-whitefield-bangalore/info
Koramangala,Cavore,N/A,"Seafood, Continental","₹3,000 for two",https://www.zomato.com/bangalore/cavore-shanti-nagar-bangalore/info
Koramangala,Biergarten,N/A,"North Indian, Continental, European, BBQ, Chinese, Asian, Beverages","₹2,500 for two",https://www.zomato.com/bangalore/biergarten-mahadevapura-bangalore/info
Koramangala,Vesparo,N/A,"North Indian, Chinese, Asian, Continental","₹1,800 for two",https://www.zomato.com/bangalore/vesparo-indiranagar-bangalore/info
Koramangala,The Brew Factory Brewery Pub & Kitchen,N/A,"American, Continental, European, Italian, Oriental, Bar Food, Burger, Pizza","₹1,000 for two",https://www.zomato.com/bangalore/the-brew-factory-brewery-pub-kitchen-peenya-bangalore/info
Koramangala,Just BLR,N/A,"North Indian, Chinese, Biryani, Beverages","₹2,500 for two",https://www.zomato.com/bangalore/just-blr-1-brigade-road-bangalore/info
Koramangala,Daddy,N/A,"Continental, North Indian, Asian, Italian, Chinese, European, Bar Food, Beverages","₹1,700 for two",https://www.zomato.com/bangalore/daddy-indiranagar-bangalore/info
Koramangala,CBD - Central Bar District,N/A,"South Indian, North Indian, Seafood, Pizza, Desserts","₹1,200 for two",https://www.zomato.com/bangalore/cbd-central-bar-district-airport-road-bangalore/info
Koramangala,Legacy Brewing Company,N/A,"North Indian, Chinese, South Indian, Pizza, Burger, Momos, Beverages, Desserts",₹900 for two,https://www.zomato.com/bangalore/legacy-brewing-company-1-rajarajeshwari-nagar-bangalore/info
Koramangala,Mamagoto,N/A,"Asian, Chinese, Thai, Japanese","₹2,000 for two",https://www.zomato.com/bangalore/mamagoto-indiranagar/info
Koramangala,Absolute Shawarma,N/A,"Shawarma, Fast Food, Burger, Pizza, Wraps, Momos, Waffle, Shake",₹300 for two,https://www.zomato.com/bangalore/absolute-shawarma-chanapatna-bangalore/info
Koramangala,Stories Brewery & Kitchen,N/A,"North Indian, Continental, Chinese, Finger Food, Beverages, Desserts","₹1,600 for two",https://www.zomato.com/bangalore/stories-brewery-kitchen-btm-bangalore/info
Koramangala,Mannheim Craft Brewery,N/A,"North Indian, Asian, American, Desserts, BBQ","₹1,800 for two",https://www.zomato.com/bangalore/mannheim-craft-brewery-whitefield-bangalore/info
Koramangala,Kling Brewery,N/A,"Continental, European, Asian, Chinese, North Indian, South Indian, Seafood","₹2,800 for two",https://www.zomato.com/bangalore/kling-brewery-church-street-bangalore/info
Koramangala,Miso Sexy,N/A,"Japanese, Chinese, Sushi, Beverages","₹2,000 for two",https://www.zomato.com/bangalore/miso-sexy-indiranagar-bangalore/info
Koramangala,Ishaara,N/A,"North Indian, Kebab, Biryani, Pizza, Desserts","₹2,500 for two",https://www.zomato.com/bangalore/ishaara-residency-road-bangalore/info
Koramangala,9889 Garden Bar & Kitchen,N/A,"Seafood, North Indian, Chinese, Italian","₹1,500 for two",https://www.zomato.com/bangalore/9889-garden-bar-kitchen-yelahanka-bangalore/info
Koramangala,Cha Hong Kong Eating House,N/A,"Chinese, Sushi, Asian, Japanese, Salad, Desserts","₹1,000 for two",https://www.zomato.com/bangalore/cha-hong-kong-eating-house-church-street-bangalore/info
Koramangala,Kahani - Craft Bar And Kitchen,N/A,"North Indian, Biryani, Chinese, Continental, Seafood, Fast Food, Pasta, Pizza","₹1,900 for two",https://www.zomato.com/bangalore/kahani-craft-bar-and-kitchen-jalahalli-bangalore/info
Koramangala,Tyla brewery & kitchen,N/A,,"₹1,800 for two",https://www.zomato.com/bangalore/tyla-brewery-kitchen-btm-bangalore/info
Koramangala,Barrys Sky Lounge,N/A,"Chinese, North Indian, Oriental, Mughlai, Biryani","₹3,000 for two",https://www.zomato.com/bangalore/barrys-sky-lounge-kalyan-nagar-bangalore/info
Koramangala,Cahoots,N/A,"North Indian, South Indian, Chinese, Pizza, Biryani, Tibetan, Asian, Desserts","₹1,500 for two",https://www.zomato.com/bangalore/cahoots-brigade-road-bangalore/info
Koramangala,Paros Brewery & Kitchen,N/A,"Chinese, North Indian, Pizza","₹1,500 for two",https://www.zomato.com/bangalore/paros-brewery-kitchen-rajarajeshwari-nagar-bangalore/info
Koramangala,Pangeo,N/A,"Modern Indian, Continental, Asian, Italian, Mediterranean, European, Grilled Chicken, Desserts","₹4,000 for two",https://www.zomato.com/bangalore/pangeo-brigade-road-bangalore/info
Koramangala,Sky Garden,N/A,"Continental, North Indian, Pizza, Asian, Pasta, Chinese, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/bangalore/sky-garden-whitefield-bangalore/info
Koramangala,Muro,N/A,"Thai, Cantonese, Salad, Desserts","₹2,800 for two",https://www.zomato.com/bangalore/muro-church-street-bangalore/info
Koramangala,Nusa,N/A,"North Indian, Asian, Continental, European, South Indian, Indonesian, Bar Food, Finger Food","₹2,000 for two",https://www.zomato.com/bangalore/nusa-varthur-main-road-whitefield-bangalore/info
Koramangala,Yazu Pan Asian Supper Club,N/A,"Japanese, Chinese, Beverages, Alcoholic Beverages","₹2,500 for two",https://www.zomato.com/bangalore/yazu-pan-asian-supper-club-st-marks-road-bangalore/info
Koramangala,Tall Oaks,N/A,"Chinese, Asian, Continental, North Indian, Seafood, Mexican, Bar Food, South Indian","₹2,500 for two",https://www.zomato.com/bangalore/tall-oaks-seegehalli-bangalore/info
Koramangala,Homiga,N/A,"Korean, Asian","₹2,000 for two",https://www.zomato.com/bangalore/homiga-brigade-road-bangalore/info
Koramangala,Underdoggs Hebbal,N/A,"North Indian, Continental, Pizza","₹1,300 for two",https://www.zomato.com/bangalore/underdoggs-hebbal-sahakara-nagar-bangalore/info
Koramangala,Terrace By House Of Commons,N/A,"Modern Indian, Continental, Asian, Chinese, North Indian, Seafood, Bar Food, Beverages","₹2,000 for two",https://www.zomato.com/bangalore/terrace-by-house-of-commons-jp-nagar-bangalore/info
Koramangala,The Pump House,N/A,"Continental, Chinese, North Indian, Italian, Asian, Salad, Pizza, Desserts","₹1,600 for two",https://www.zomato.com/bangalore/the-pump-house-1-jp-nagar-bangalore/info
Koramangala,DHA 6566 Resto Pub,N/A,"Mexican, Italian, Chinese, Thai, Sichuan, Fast Food, Desserts","₹1,400 for two",https://www.zomato.com/bangalore/dha-6566-resto-pub-jayanagar-bangalore/info
Koramangala,Bramble,N/A,"Continental, Asian, North Indian, Italian, Bar Food, Beverages","₹1,800 for two",https://www.zomato.com/bangalore/bramble-jayanagar-bangalore/info
Koramangala,Mainland China,N/A,"Chinese, Sushi, Seafood, Asian, Japanese, Beverages","₹2,100 for two",https://www.zomato.com/bangalore/mainland-china-1-church-street-bangalore/info
Koramangala,Old Mill Brewing Co,N/A,"South Indian, North Indian, Asian, Italian","₹2,000 for two",https://www.zomato.com/bangalore/old-mill-brewing-co-varthur-main-road-whitefield-bangalore/info
Koramangala,Little Italy,N/A,"Italian, Pizza, Pasta, Continental, Desserts, Healthy Food, Beverages","₹1,800 for two",https://www.zomato.com/bangalore/little-italy-indiranagar-bangalore/info
Koramangala,Kalpaney,N/A,"South Indian, North Indian, Asian, Japanese, Chinese, Salad, Desserts, Beverages","₹1,000 for two",https://www.zomato.com/bangalore/kalpaney-jp-nagar-bangalore/info
Koramangala,TIMBAR,N/A,"Continental, Chinese","₹1,000 for two",https://www.zomato.com/bangalore/timbar-jp-nagar-bangalore/info
Koramangala,Skygarden Bar & Kitchen,N/A,Chinese,"₹1,500 for two",https://www.zomato.com/bangalore/skygarden-bar-kitchen-koramangala-5th-block-bangalore/info
Koramangala,Sable Cafe,N/A,"Italian, Pizza, Sandwich, Salad, Fast Food, Burger","₹1,000 for two",https://www.zomato.com/bangalore/sable-cafe-indiranagar-bangalore/info
Koramangala,District 6 Pub Brewery & Kitchen,N/A,"North Indian, Pizza, Italian, Bar Food, Continental, Asian, Desserts","₹2,500 for two",https://www.zomato.com/bangalore/district-6-pub-brewery-kitchen-malleshwaram-bangalore/info
Koramangala,Levels Pub & Kitchen,N/A,"Asian, South Indian, North Indian","₹1,700 for two",https://www.zomato.com/bangalore/levels-pub-kitchen-jp-nagar-bangalore/info
Koramangala,BREW MILL,N/A,"North Indian, Chinese, South Indian, Pizza, Biryani, Burger, Desserts, Momos","₹1,500 for two",https://www.zomato.com/bangalore/brew-mill-1-electronic-city-bangalore/info
Koramangala,Over Coffee Cafe & Wine Bar,N/A,"European, Italian, Continental, Cafe, Coffee","₹1,000 for two",https://www.zomato.com/bangalore/over-coffee-cafe-wine-bar-lavelle-road-bangalore/info
Koramangala,Toit,N/A,"Italian, American, European, Continental, Desserts","₹1,800 for two",https://www.zomato.com/bangalore/toit-indiranagar/info
Koramangala,Daffy's Brewgarden,N/A,"South Indian, Bar Food","₹1,400 for two",https://www.zomato.com/bangalore/daffys-brewgarden-indiranagar-bangalore/info
Koramangala,Orah Brew Garden,N/A,"Pizza, Pasta","₹1,600 for two",https://www.zomato.com/bangalore/orah-brew-garden-yelahanka-bangalore/info
Koramangala,Arena Brewhouse,N/A,"Continental, Japanese, Middle Eastern, Bar Food, Desserts","₹1,700 for two",https://www.zomato.com/bangalore/arena-brewhouse-2-indiranagar-bangalore/info
Koramangala,Candles Brewhouse,N/A,"Italian, Continental, American, Pizza, North Indian","₹2,000 for two",https://www.zomato.com/bangalore/candles-brewhouse-hebbal-bangalore/info
Koramangala,Triple Eight Rooftop Bar & Kitchen,N/A,"Bar Food, Burger, Sandwich, Mexican, Pasta, Mediterranean, Pizza, Biryani","₹1,300 for two",https://www.zomato.com/bangalore/triple-eight-rooftop-bar-kitchen-bannerghatta-road-bangalore/info
Koramangala,Levels Microbrewery,N/A,"Pizza, Pasta, South Indian, Italian, Biryani","₹1,300 for two",https://www.zomato.com/bangalore/levels-microbrewery-nagarbhavi-bangalore/info
Koramangala,Hard Rock Cafe,N/A,"American, Continental, Italian, Wraps, Burger, Desserts, Fast Food, Beverages","₹3,500 for two",https://www.zomato.com/bangalore/hard-rock-cafe-st-marks-road/info
Koramangala,JP Nagara Social,N/A,"North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Korean, Beverages","₹1,500 for two",https://www.zomato.com/bangalore/jp-nagara-social-jp-nagar-bangalore/info
Koramangala,Amicii,N/A,"North Indian, Asian, Sushi, Pizza, Continental, Bar Food, Desserts, Beverages","₹3,000 for two",https://www.zomato.com/bangalore/amicii-indiranagar-bangalore/info
Koramangala,Flo,N/A,"Asian, North Indian, Continental, Finger Food, Sushi, Desserts, Beverages, Thai","₹2,900 for two",https://www.zomato.com/bangalore/flo-church-street-bangalore/info
Koramangala,The Balcony Bar,N/A,"North Indian, Fast Food, Chinese, Pizza, Sandwich, Burger, Beverages","₹1,900 for two",https://www.zomato.com/Barebones/info
Koramangala,Ironhill Kanakapura road,N/A,"North Indian, Pizza, Fast Food","₹1,500 for two",https://www.zomato.com/bangalore/ironhill-kanakapura-road-kumaraswamy-layout-bangalore/info
Koramangala,Mykos Craft Kitchen & Bar,N/A,"Continental, Italian, Chinese, Mediterranean, North Indian, South American, Sushi","₹1,600 for two",https://www.zomato.com/bangalore/mykos-craft-kitchen-bar-bannerghatta-road-bangalore/info
Koramangala,Chin Lung Brewery,N/A,"Bar Food, Beverages","₹2,100 for two",https://www.zomato.com/bangalore/chin-lung-brewery-indiranagar-bangalore/info
Koramangala,Chalo Punjab,N/A,"North Indian, Chinese, Biryani, Desserts, Kebab, Beverages, Ice Cream, Shake","₹1,500 for two",https://www.zomato.com/bangalore/chalo-punjab-indiranagar-bangalore/info
Koramangala,Nysa Sky Bar,N/A,"South Indian, Chinese, Pizza","₹1,500 for two",https://www.zomato.com/bangalore/nysa-sky-bar-2-yelahanka-bangalore/info
Koramangala,Roxie,N/A,"Continental, Asian, North Indian, European, American, Italian, Pizza, Beverages","₹2,600 for two",https://www.zomato.com/bangalore/roxie-sarjapur-road-bangalore/info
Koramangala,Big Pitcher,N/A,"North Indian, Desserts","₹1,800 for two",https://www.zomato.com/bangalore/big-pitcher-sarjapur-road-bangalore/info
Koramangala,Indian Biere House,N/A,"Continental, Mediterranean, North Indian, Asian, Bar Food, Italian, Desserts, Beverages","₹2,500 for two",https://www.zomato.com/bangalore/indian-biere-house-jp-nagar-bangalore/info
Koramangala,The Fisherman's Wharf,N/A,"North Indian, Chinese, Seafood, Goan, Finger Food, Continental, Desserts, Beverages","₹2,100 for two",https://www.zomato.com/bangalore/the-fishermans-wharf-sarjapur-road/info
Koramangala,Jewel Sizzle,N/A,"South Indian, North Indian, Biryani, Chinese, Continental, Seafood, Desserts, Beverages","₹1,500 for two",https://www.zomato.com/bangalore/jewel-sizzle-jp-nagar-bangalore/info
Koramangala,Smash Guys - Burger Kitchen,N/A,"Burger, Fast Food, Continental, Beverages","₹1,500 for two",https://www.zomato.com/bangalore/smash-guys-burger-kitchen-indiranagar-bangalore/info
Koramangala,Chavadi Native Kitchen Community Cafe,N/A,"North Indian, South Indian, Seafood, Desserts, Beverages","₹2,700 for two",https://www.zomato.com/bangalore/chavadi-native-kitchen-community-cafe-bannerghatta-road-bangalore/info
Koramangala,Proxy | Resto Bar,N/A,"North Indian, Chinese, Pizza, Beverages, Coffee, Asian","₹1,500 for two",https://www.zomato.com/bangalore/proxy-resto-bar-brookefield-bangalore/info
Koramangala,Macaw By Stories,N/A,"South Indian, North Indian, Chinese, Pasta, Pizza, Fast Food, Salad, Desserts","₹2,000 for two",https://www.zomato.com/bangalore/macaw-by-stories-bommanahalli-bangalore/info
